YDH,Load
1305108,549.43
1305109,561.009
1305110,609.944
1305111,709.624
1305112,752.78
1305113,773.28
1305114,779.207
1305115,783.344
1305116,784.912
1305117,776.279
1305118,773.533
1305119,766.952
1305120,765.933
1305121,775.443
1305122,822.066
1305123,848.788
1305200,826.464
1305201,799.015
1305202,766.043
1305203,692.453
1305204,637.313
1305205,606.533
1305206,590.391
1305207,582.611
1305208,581.92
1305209,601.199
1305210,656.16
1305211,747.373
1305212,797.125
1305213,809.842
1305214,812.658
1305215,804.84
1305216,805.316
1305217,795.318
1305218,791.96
1305219,785.157
1305220,784.852
1305221,797.229
1305222,842.79
1305223,869.496
1305300,848.279
1305301,819.374
1305302,788.743
1305303,714.454
1305304,658.002
1305305,622.89
1305306,601.07
1305307,588.63
1305308,585.372
1305309,598.931
1305310,647.579
1305311,733.942
1305312,781.802
1305313,788.064
1305314,788.426
1305315,787.104
1305316,775.849
1305317,756.309
1305318,744.677
1305319,735.808
1305320,732.107
1305321,732.682
1305322,775.625
1305323,803.138
1305400,782.721
1305401,755.534
1305402,733.238
1305403,670.742
1305404,619.326
1305405,583.797
1305406,562.715
1305407,549.369
1305408,545.347
1305409,550.39
1305410,572.752
1305411,614.236
1305412,664.675
1305413,713.98
1305414,744.688
1305415,751.519
1305416,754.799
1305417,746.799
1305418,735.518
1305419,729.559
1305420,730.426
1305421,735.223
1305422,774.268
1305423,788.42
1305500,758.444
1305501,727.708
1305502,705.086
1305503,646.522
1305504,597.881
1305505,563.27
1305506,540.108
1305507,528.755
1305508,526.161
1305509,528.654
1305510,541.29
1305511,574.463
1305512,621.158
1305513,676.012
1305514,706.509
1305515,717.276
1305516,722.36
1305517,717.127
1305518,706.015
1305519,698.127
1305520,699.595
1305521,705.531
1305522,753.441
1305523,765.929
1305600,738.662
1305601,704.822
1305602,676.193
1305603,616.617
1305604,577.562
1305605,550.659
1305606,532.214
1305607,527.812
1305608,530.079
1305609,547.249
1305610,600.701
1305611,686.077
1305612,740.841
1305613,758.498
1305614,768.101
1305615,772.417
1305616,771.322
1305617,760.01
1305618,755.902
1305619,747.314
1305620,740.169
1305621,741.896
1305622,780.053
1305623,807.201
1305700,784.749
1305701,751.588
1305702,722.973
1305703,653.631
1305704,602.991
1305705,569.22
1305706,552.367
1305707,544.234
1305708,543.794
1305709,557.996
1305710,606.645
1305711,692.309
1305712,738.427
1305713,740.313
1305714,740.009
1305715,740.973
1305716,735.178
1305717,729.577
1305718,730.618
1305719,724.804
1305720,725.197
1305721,734.373
1305722,775.292
1305723,799.559
1305800,777.191
1305801,743.278
1305802,716.664
1305803,649.493
1305804,599.2
1305805,562.368
1305806,545.662
1305807,534.44
1305808,533.394
1305809,549.498
1305810,601.194
1305811,685.078
1305812,735.024
1305813,753.082
1305814,760.795
1305815,771.674
1305816,780.966
1305817,774.542
1305818,776.413
1305819,762.198
1305820,758.745
1305821,762.788
1305822,796.524
1305823,809.711
1305900,785.922
1305901,748.142
1305902,718.916
1305903,654.355
1305904,600.553
1305905,565.526
1305906,545.038
1305907,535.974
1305908,537.678
1305909,555.379
1305910,602.162
1305911,687.578
1305912,729.784
1305913,738.457
1305914,740.931
1305915,738.573
1305916,739.883
1305917,727.123
1305918,722.275
1305919,719.927
1305920,723.391
1305921,730.385
1305922,760.129
1305923,784.8
1306000,766.487
1306001,738.359
1306002,711.257
1306003,644.981
1306004,592.922
1306005,558.304
1306006,540.74
1306007,530.403
1306008,530.241
1306009,545.879
1306010,597.707
1306011,680.566
1306012,736.813
1306013,751.22
1306014,756.112
1306015,758.447
1306016,754.174
1306017,740.397
1306018,733
1306019,728.88
1306020,732.478
1306021,736.3
1306022,761.473
1306023,780.123
1306100,760.287
1306101,738.501
1306102,720.393
1306103,658.221
1306104,609.276
1306105,571.135
1306106,551.191
1306107,538.471
1306108,533.748
1306109,539.576
1306110,563.108
1306111,605.188
1306112,656.573
1306113,703.281
1306114,728.379
1306115,731.916
1306116,726.924
1306117,715.061
1306118,700.105
1306119,689.883
1306120,694.023
1306121,703.676
1306122,744.18
1306123,771.201
1306200,749.446
1306201,720.862
1306202,701.802
1306203,646.661
1306204,599.431
1306205,565.406
1306206,545.915
1306207,536.198
1306208,532.777
1306209,538.713
1306210,557.681
1306211,588.943
1306212,637.594
1306213,690.494
1306214,715.125
1306215,719.862
1306216,719.104
1306217,712.882
1306218,702.141
1306219,691.917
1306220,690.885
1306221,701.373
1306222,741.523
1306223,772.051
1306300,747.701
1306301,714.567
1306302,687.836
1306303,627.645
1306304,588.561
1306305,561.94
1306306,544.428
1306307,539.172
1306308,540.153
1306309,557.955
1306310,613.725
1306311,700.094
1306312,752.335
1306313,770.831
1306314,780.148
1306315,773.873
1306316,772.767
1306317,764.283
1306318,759.647
1306319,753.568
1306320,750.943
1306321,756.652
1306322,791.596
1306323,820.017
1306400,796.64
1306401,764.144
1306402,735.186
1306403,664.219
1306404,614.266
1306405,583.974
1306406,555.979
1306407,548.672
1306408,540.717
1306409,551.224
1306410,611.717
1306411,690.505
1306412,743.192
1306413,756.976
1306414,757.437
1306415,751.019
1306416,742.855
1306417,730.092
1306418,724.53
1306419,714.188
1306420,707.258
1306421,713.577
1306422,750.983
1306423,796.525
1306500,781.362
1306501,752.432
1306502,721.495
1306503,650.422
1306504,600.726
1306505,567.639
1306506,541.157
1306507,533
1306508,532.708
1306509,548.417
1306510,613.808
1306511,706.124
1306512,754.007
1306513,752.16
1306514,751.953
1306515,748.78
1306516,753.642
1306517,746.126
1306518,744.411
1306519,738.206
1306520,737.997
1306521,744.283
1306522,776.571
1306523,804.889
1306600,786.695
1306601,752.568
1306602,721.35
1306603,649.187
1306604,597.269
1306605,563.938
1306606,538.012
1306607,530.693
1306608,529.315
1306609,545.639
1306610,610.886
1306611,706.957
1306612,755.99
1306613,756.899
1306614,756.444
1306615,759.019
1306616,759.777
1306617,747.884
1306618,751.234
1306619,741.209
1306620,742.452
1306621,749.284
1306622,778.318
1306623,805.815
1306700,787.405
1306701,753.895
1306702,722.324
1306703,651.572
1306704,601.691
1306705,567.248
1306706,540.885
1306707,530.649
1306708,531.262
1306709,547.777
1306710,609.726
1306711,704.777
1306712,751.979
1306713,776.934
1306714,766.223
1306715,765.037
1306716,759.846
1306717,740.032
1306718,726.876
1306719,714.562
1306720,705.315
1306721,710.648
1306722,738.065
1306723,778.568
1306800,761.445
1306801,752.775
1306802,707.27
1306803,652.876
1306804,604.146
1306805,569.164
1306806,546.61
1306807,536.656
1306808,535.085
1306809,541.901
1306810,567.219
1306811,613.284
1306812,653.686
1306813,681.92
1306814,692.441
1306815,685.871
1306816,675.465
1306817,656.398
1306818,639.176
1306819,628.437
1306820,631.466
1306821,644.055
1306822,688.43
1306823,737.662
1306900,721.072
1306901,711.383
1306902,672.235
1306903,625.145
1306904,582.413
1306905,550.233
1306906,531.599
1306907,518.204
1306908,517.516
1306909,531.033
1306910,558.731
1306911,599.541
1306912,640.251
1306913,672.396
1306914,677.608
1306915,677.28
1306916,666.754
1306917,652.918
1306918,640.76
1306919,643.822
1306920,647.563
1306921,676.401
1306922,710.228
1306923,731.778
1307000,729.235
1307001,670.215
1307002,608.246
1307003,561.498
1307004,530.687
1307005,510.45
1307006,504.326
1307007,505.224
1307008,516.5
1307009,571.133
1307010,669.419
1307011,729.836
1307012,730.364
1307013,729.569
1307014,740.12
1307015,743.78
1307016,735.317
1307017,727.013
1307018,720.074
1307019,711.869
1307020,712.192
1307021,731.356
1307022,750.237
1307023,771.025
1307100,764.461
1307101,706.398
1307102,636.698
1307103,586.677
1307104,550.366
1307105,527.966
1307106,515.998
1307107,514.581
1307108,529.682
1307109,581.683
1307110,677.894
1307111,743.913
1307112,748.906
1307113,753.896
1307114,759.276
1307115,761.53
1307116,754.195
1307117,754.434
1307118,741.459
1307119,739.474
1307120,743.109
1307121,764.99
1307122,772.714
1307123,773.954
1307200,764.238
1307201,703.164
1307202,635.604
1307203,586.94
1307204,553.043
1307205,532.659
1307206,519.484
1307207,519.179
1307208,536.176
1307209,589.789
1307210,688.631
1307211,748.195
1307212,745.762
1307213,742.138
1307214,739.927
1307215,742.944
1307216,737.146
1307217,731.364
1307218,716.465
1307219,707.594
1307220,711.022
1307221,725.368
1307222,746.497
1307223,772.436
1307300,772.951
1307301,717.407
1307302,649.216
1307303,600.066
1307304,569.546
1307305,551.086
1307306,543.387
1307307,544.481
1307308,560.029
1307309,609.416
1307310,708.992
1307311,767.026
1307312,769.358
1307313,769.251
1307314,770.493
1307315,764.359
1307316,753.013
1307317,747.111
1307318,739.612
1307319,739.509
1307320,742.764
1307321,762.938
1307322,783.491
1307323,806.156
1307400,806.839
1307401,753.353
1307402,690.195
