YDH,PowerDen
1304814,0.2478813
1304815,0.3789937
1304816,0.5423
1304817,0.5670031
1304818,0.5343313
1304819,0.445825
1304820,0.3132781
1304821,0.1491219
1304822,0.002975
1304823,0
1304900,0
1304901,0
1304902,0
1304903,0
1304904,0
1304905,0
1304906,0
1304907,0
1304908,0
1304909,0
1304910,0
1304911,0
1304912,0
1304913,0.13974
1304914,0.338725
1304915,0.4631437
1304916,0.5398563
1304917,0.5615312
1304918,0.5272092
1304919,0.45356
1304920,0.3100921
1304921,0.14875
1304922,0.0040375
1304923,0
1305000,0
1305001,0
1305002,0
1305003,0
1305004,0
1305005,0
1305006,0
1305007,0
1305008,0
1305009,0
1305010,0
1305011,0
1305012,0.01471581
1305013,0.1205937
1305014,0.1581531
1305015,0.1883281
1305016,0.4192625
1305017,0.3653407
1305018,0.09725004
1305019,0.2165843
1305020,0.04095937
1305021,0.0337875
1305022,0
1305023,0
1305100,0
1305101,0
1305102,0
1305103,0
1305104,0
1305105,0
1305106,0
1305107,0
1305108,0
1305109,0
1305110,0
1305111,0
1305112,0.01662812
1305113,0.1744625
1305114,0.3356969
1305115,0.4620281
1305116,0.5402812
1305117,0.5309313
1305118,0.5241823
1305119,0.4498076
1305120,0.3003156
1305121,0.1615
1305122,0.00924375
1305123,0
1305200,0
1305201,0
1305202,0
1305203,0
1305204,0
1305205,0
1305206,0
1305207,0
1305208,0
1305209,0
1305210,0
1305211,0
1305212,0.01567188
1305213,0.17425
1305214,0.302175
1305215,0.4648969
1305216,0.5451156
1305217,0.5690218
1305218,0.5408125
1305219,0.4585555
1305220,0.3267719
1305221,0.1649531
1305222,0.0102
1305223,0
1305300,0
1305301,0
1305302,0
1305303,0
1305304,0
1305305,0
1305306,0
1305307,0
1305308,0
1305309,0
1305310,0
1305311,0
1305312,0.007384375
1305313,0.1142719
1305314,0.14535
1305315,0.2296594
1305316,0.5064406
1305317,0.5630187
1305318,0.5296031
1305319,0.4481716
1305320,0.311525
1305321,0.1578875
1305322,0
1305323,0
1305400,0
1305401,0
1305402,0
1305403,0
1305404,0
1305405,0
1305406,0
1305407,0
1305408,0
1305409,0
1305410,0
1305411,0
1305412,0
1305413,0
1305414,0.00595
1305415,0.01136875
1305416,0.0295375
1305417,0.01795625
1305418,0.03086562
1305419,0.02201479
1305420,8.50E-13
1305421,4.90E-13
1305422,0
1305423,0
1305500,0
1305501,0
1305502,0
1305503,0
1305504,0
1305505,0
1305506,0
1305507,0
1305508,0
1305509,0
1305510,0
1305511,0
1305512,0.003825
1305513,0.1940125
1305514,0.082025
1305515,0.1175656
1305516,0.1227719
1305517,0.1154406
1305518,0.1039656
1305519,0.08864146
1305520,0.06242187
1305521,0.1734531
1305522,0.005578125
1305523,0
1305600,0
1305601,0
1305602,0
1305603,0
1305604,0
1305605,0
1305606,0
1305607,0
1305608,0
1305609,0
1305610,0
1305611,0
1305612,0.03330937
1305613,0.2004937
1305614,0.3598687
1305615,0.4850844
1305616,0.5620094
1305617,0.5859687
1305618,0.5553604
1305619,0.4682373
1305620,0.3427094
1305621,0.1792437
1305622,0.01923125
1305623,0
1305700,0
1305701,0
1305702,0
1305703,0
1305704,0
1305705,0
1305706,0
1305707,0
1305708,0
1305709,0
1305710,0
1305711,0
1305712,0.02374688
1305713,0.1152281
1305714,0.1890188
1305715,0.1057719
1305716,0.1403562
1305717,0.31875
1305718,0.3709613
1305719,0.293496
1305720,0.06066875
1305721,0.02257813
1305722,0
1305723,0
1305800,0
1305801,0
1305802,0
1305803,0
1305804,0
1305805,0
1305806,0
1305807,0
1305808,0
1305809,0
1305810,0
1305811,0
1305812,0
1305813,0.003878125
1305814,0.0159375
1305815,0.02560625
1305816,0.0323
1305817,0.05663125
1305818,0.09229442
1305819,0.1568988
1305820,0.03352187
1305821,0.054825
1305822,0.00095625
1305823,0
1305900,0
1305901,0
1305902,0
1305903,0
1305904,0
1305905,0
1305906,0
1305907,0
1305908,0
1305909,0
1305910,0
1305911,0
1305912,0.0014875
1305913,0.1314844
1305914,0.2840594
1305915,0.09190625
1305916,0.5560063
1305917,0.5938312
1305918,0.1595344
1305919,0.08084014
1305920,0.06576876
1305921,0.1140063
1305922,0.00499375
1305923,0
1306000,0
1306001,0
1306002,0
1306003,0
1306004,0
